,Common name,Binomial name,Population,Status,Trend,Notes,Image,popNoCitation,popNoCitation_Gmean
0,Hainan black crested gibbon,Nomascus hainanus,20[1],CR[1],[1],"Population was estimated at over 2,000 in the late 1950s.[1]",,20,20.0
1,Eastern black crested gibbon,Nomascus nasutus,35–37[2],CR[2],[2],Previously thought to be possibly extinct. Numbers may be higher.[2],,35–37,35.98610843089316
2,Sarawak surili,Presbytis chrysomelas,200–500[3],CR[3],[3],,,200–500,316.2277660168377
3,Perrier's sifaka,Propithecus perrieri,230[4],CR[4],[4],One of the 25 most endangered primates.[4],,230,230.0
4,Silky sifaka,Propithecus candidus,250[5],CR[5],[5],Estimate is believed to be a maximum.[5],,250,250.0
5,Tonkin snub-nosed monkey,Rhinopithecus avunculus,250[6],CR[6],[6],,,250,250.0
6,Barbara Brown's titi,Callicebus barbarabrownae,260[7],CR[7],[7],Minimum estimation.[7],,260,260.0
7,Myanmar snub-nosed monkey,Rhinopithecus strykeri,260–330[8],CR[8],[8],,,260–330,292.9163703175361
8,Superagui lion tamarin,Leontopithecus caissara,400[9],CR[9],[9],Maximum estimate.[9],,400,400.0
9,Blond capuchin,Cebus flavius,500,EN,[10],,,500,500.0
10,Greater bamboo lemur,Prolemur simus,500[11],CR,,,,500,500.0
11,Kashmir gray langur,Semnopithecus ajax,500[12],EN[12],[12],Maximum estimate; 250 mature.[12],,500,500.0
12,Coimbra Filho's titi,Callicebus coimbrai,"500–1,000[13]",EN[13],[13],,,500–1000,707.1067811865473
13,Gray-shanked douc,Pygathrix cinerea,550–700[14],CR[14],[14],,,550–700,620.4836822995426
14,Arunachal macaque,Macaca munzala,569[15],EN[15],[15],"While one source gives a minimum estimate of 569, another claims adult species number less than 250.[15]",,569,569.0
15,Gray snub-nosed monkey,Rhinopithecus brelichi,750[16],EN[16],[16],,,750,750.0
16,White-headed langur,Trachypithecus poliocephalus,764–864[17],CR[17],[17],,,764–864,812.4629222309167
17,Northern muriqui,Brachyteles hypoxanthus,855[18],CR[18],[18],Minimum estimate.[18],,855,855.0
18,Black lion tamarin,Leontopithecus chrysopygus,"1,000[19]",EN[19],[19],,,1000,1000.0
19,Tana River mangabey,Cercocebus galeritus,"1,000–1,200[20]",EN[20],[20],,,1000–1200,1095.445115010332
20,Kipunji,Rungwecebus kipunji,"1,117[21]",EN[21],[21],,,1117,1117.0
